Sr.,Category,HS Code,Product Name
1,Fruit,081190,Amla
2,Fruit,081190,Aronia
3,Fruit,081190,Atemoya
4,Fruit,081190,Barberry
5,Fruit,081090,Bastard Oleaster
6,Fruit,081190,Breadfruit
7,Fruit,080719,Cantaloupe
8,Fruit,081190,Cape Gooseberry
9,Fruit,081190,Cherimoya
10,Fruit,080590,Citron
11,Fruit,081190,Cocona
12,Fruit,081190,Cotton Fruit
13,Fruit,081120,Currant
14,Fruit,080420,Dried Fig
15,Fruit,081340,Dried Goji Berry
16,Fruit,081190,Feijoa
17,Fruit,080910,Fresh Apricot
18,Fruit,080440,Fresh Avocado
19,Fruit,081020,Fresh Blackberry
20,Fruit,081040,Fresh Blueberry
21,Fruit,081190,Fresh Boysenberry
22,Fruit,080520,Fresh Citrus Hybrids
23,Fruit,080520,Fresh Clementine
24,Fruit,081040,Fresh Cranberry
25,Fruit,081190,Fresh Custard Apple
26,Fruit,080410,Fresh Date
27,Fruit,081090,Fresh Dragon Fruit
28,Fruit,081060,Fresh Durian
29,Fruit,081190,Fresh Elderberry
30,Fruit,080420,Fresh Fig
31,Fruit,081120,Fresh Gooseberry
32,Fruit,080540,Fresh Grapefruit
33,Fruit,080610,Fresh Grape
34,Fruit,080450,Fresh Guava
35,Fruit,081050,Fresh Kiwifruit
36,Fruit,080550,Fresh Lemon
37,Fruit,080550,Fresh Lime
38,Fruit,081190,Fresh Longan
39,Fruit,081190,Fresh Lychee
40,Fruit,080520,Fresh Mandarin
41,Fruit,080450,Fresh Mangosteen
42,Fruit,080450,Fresh Mango
43,Fruit,080719,Fresh Melon (Muskmelon)
44,Fruit,081020,Fresh Mulberry
45,Fruit,080930,Fresh Nectarine
46,Fruit,080510,Fresh Orange
47,Fruit,080720,Fresh Papaya
48,Fruit,081190,Fresh Passionfruit
49,Fruit,080830,Fresh Pear
50,Fruit,081070,Fresh Persimmon
51,Fruit,080430,Fresh Pineapple
52,Fruit,080390,Fresh Plantain
53,Fruit,081190,Fresh Pomegranate
54,Fruit,080540,Fresh Pomelo
55,Fruit,081190,Fresh Rambutan
56,Fruit,080921,Fresh Sour Cherry
57,Fruit,081190,Fresh Soursop
58,Fruit,081190,Fresh Star Gooseberry
59,Fruit,080929,Fresh Sweet Cherry
60,Fruit,081190,Fresh Tamarind
61,Fruit,080711,Fresh Watermelon
62,Fruit,081190,Frozen Acai
63,Fruit,081190,Frozen Acerola
64,Fruit,081190,Gambooge
65,Fruit,081190,Honeysuckle
66,Fruit,081190,Jackfruit
67,Fruit,080940,Java Plum
68,Fruit,081190,Jocote
69,Fruit,081190,Kokum
70,Fruit,080590,Kumquat
71,Fruit,081190,Langsat
72,Fruit,081190,Loquat
73,Fruit,081190,Lulo
74,Fruit,081090,Mahua
75,Fruit,081190,Mamey Sapote
76,Fruit,080940,Marian Plum
77,Fruit,081190,Medlar
78,Fruit,081190,Noni
79,Fruit,0810,Other Fresh Fruits
80,Fruit,080720,Pawpaw
81,Fruit,081190,Physalis
82,Fruit,080450,Pineapple Guava
83,Fruit,081190,Prickly Pear
84,Fruit,081320,Prune
85,Fruit,080840,Quince
86,Fruit,080610,Raisin (Dried Grape)
87,Fruit,081190,Rose Apple
88,Fruit,081190,Salak
89,Fruit,081190,Sapodilla
90,Fruit,081190,Sea Buckthorn
91,Fruit,081190,Star Apple
92,Fruit,081190,Star Fruit
93,Fruit,081090,Sugar Apple
94,Fruit,081190,Sweet Granadilla
95,Fruit,081190,Tamarillo
96,Fruit,080520,Tangor
97,Fruit,070993,Winter Melon
98,Fruit,081190,Kaong
99,Fruit,081190,Caja
100,Fruit,081020,Olallieberry
101,Fruit,091020,Kaffir Lime
102,Fruit,081190,Cashew Apple
103,Fruit,081190,Doum Palm Fruit
104,Fruit,081190,Double Coconut
105,Fruit,081190,Maqui Berry
106,Fruit,081190,Mexican Hawthorn
107,Fruit,081190,Baobab Fruit
108,Fruit,081190,Ambarella
109,Fruit,081190,Peach Palm
110,Fruit,081190,Giant Granadilla
111,Fruit,071080,Nipa Palm
112,Fruit,081190,Chinese Bayberry
113,Fruit,081190,Snowberry
114,Fruit,081190,Indochina Dragonplum
115,Fruit,081190,Jagua
116,Fruit,080590,Calamansi
117,Fruit,081190,Guarana
118,Fruit,080590,Satkara
119,Fruit,081190,Tayberry
120,Fruit,081190,Marang
121,Fruit,081090,Nance
122,Fruit,081190,Borojo
123,Fruit,081190,Canistel
124,Fruit,081190,Bacuri
125,Fruit,081190,Pulasan
126,Fruit,081040,Huckleberry
127,Fruit,200899,Pitanga
128,Fruit,081090,Jabuticaba
129,Fruit,200899,Palmyra
130,Fruit,080111,Desiccated Coconut
131,Fruit,080390,Fresh Banana
132,Fruit,080810,Fresh Apple
133,Fruit,081010,Fresh Strawberry
134,Fruit,080940,Fresh Plum
135,Fruit,080930,Fresh Peach
136,Fruit,081020,Fresh Raspberry
