Sr.,Category,HS Code,Product,Verity,Summary,Short specs,Long Specs
4,Fruits,81190,Barberry,Anari,"The Barberry Anari variety is a small, tart and juicy fruit that is produced in the Middle East and Central Asia. This fruit is very popular among consumers for its unique flavor and is often used in recipes for pies and jams. Other exciting features of this fruit include its high vitamin C content and its ability to be stored for long periods of time.","Size: 4-6 cm, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: crisp, Weight: 20-30 g","Size: 4-6 cm, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: crisp, Weight: 20-30 g,Scientific name: Berberis vulgarisOrigin: Europe, Asia, and North AmericaTSS value: 6–7%Acidity: 0.5–1.5%Taste: SourSeed: SolitaryRipening Season: Late summer to early fallNutritional Value: Vitamin C, fiber, and manganeseShelf life: 1–2 weeks"
5,Fruits,80719,Cantaloupe,Galia,"The Galia Cantaloupe is a variety of cantaloupe that is grown in Israel. This variety of cantaloupe is characterized by its greenish-yellow color and unusual shape. The Galia Cantaloupe is said to have a sweet, fragrant flavor and is a popular choice for fruit salads and other fruit dishes.","Size: 9-10 cm, Shape: Spherical, Skin Color: Green, Flesh Color: Orange, Texture: Juicy, Weight: 500-600 g","Size: 9-10 cm, Shape: Spherical, Skin Color: Green, Flesh Color: Orange, Texture: Juicy, Weight: 500-600 g,Scientific name: Cucumis melo, Origin: India, TSS: 7-11%, Acidity: 0.4-0.6%, Taste: mildly sweet, Seed: large, black, Ripening Season: mid-season, Nutritional Value: Vitamin C, Shelf life: 7-10 days"
9,Fruits,80719,Cantaloupe,Carabel,"Cantaloupe is a variety of melon that is typically round or oval, and has a light-orange to deep-orange flesh. Cantaloupe is often consumed as a refreshing fruit or as part of a fruit salad. This variety of melon is grown in many regions of the world, and is typically in season during the summer months.","Size: 7-8 inches, Shape: round, oval, Skin Color: green, orange, brown, Flesh Color: orange, pink, red, Texture: smooth, soft, Weight 1000 g","Size: 7-8 inches, Shape: round, oval, Skin Color: green, orange, brown, Flesh Color: orange, pink, red, Texture: smooth, soft, ,Weight 1000 g,Scientific name: Cucumis melo, Origin: France, TSS value: 85, Acidity: 6, Taste: Sweet, Seed: Yes, Ripening Season: June-August, Nutritional Value: Vitamins A and C, Shelf life: 2-3 days"
10,Fruits,80719,Cantaloupe,Charentais,Cantaloupe Charentais is a variety of cantaloupe that is round with a ribbed outer skin. The flesh is orange and has a sweet flavor. This variety of cantaloupe is grown in France and is available in the summer months.,"Size: 3-6 inches, Shape: spherical, Skin Color: orange-yellow, Flesh Color: orange, Texture: smooth, Weight: 500-1000 grams","Size: 3-6 inches, Shape: spherical, Skin Color: orange-yellow, Flesh Color: orange, Texture: smooth, Weight: 500-1000 grams,Scientific name: Cucumis melo, Origin: France, TSS value: 7-8%, Acidity: 0.4-0.6%, Taste: Sweet, Seed: Few, Ripening Season: July-September, Nutritional Value: Vitamin C, A, B6, Potassium, Shelf life: 3-5 days"
12,Fruits,80719,Cantaloupe,Home Run,The Home Run Cantaloupe is a variety of cantaloupe that is grown in the United States. This type of cantaloupe is high in sugar content and has a very sweet flavor. The Home Run Cantaloupe is typically available from mid-summer to early fall.,"Size: 9-11 inches, Shape: round to oval, Skin Color: greenish-tan to orange, Flesh Color: orange, Texture: juicy and sweet, Weight: 1000 g","Size: 9-11 inches, Shape: round to oval, Skin Color: greenish-tan to orange, Flesh Color: orange, Texture: juicy and sweet, Weight: 1000 g,Scientific name: Cucumis melo, Origin: India , TSS value: 12.5-14.5%, Acidity: 0.3-0.4%, Taste: Sweet, Seed: Present, Ripening Season: July to September, Nutritional Value: Vitamin A, C, B6, folate, potassium and fiber, Shelf life: 3-5 days"
13,Fruits,80719,Cantaloupe,Tusbez,Cantaloupe Tusbez is a variety of cantaloupe that is sweet and juicy. It is grown in the Mediterranean region and is in season from June to August. This variety of cantaloupe is loved by many for its sweetness and its distinct flavor.,"Size: 350-450g, Shape: tear drop, Skin Color: orange, Flesh Color: orange, Texture: thick and juicy, Weight: 350-450g","Size: 350-450g, Shape: tear drop, Skin Color: orange, Flesh Color: orange, Texture: thick and juicy, Weight: 350-450g,Scientific name: Cantaloupes, Origin: Persia, TSS value: 7-8%, Acidity: 0.3-0.4%, Taste: Sweet, Seed: White, Ripening Season: May-July, Nutritional Value: Rich in vitamins A, C, and B6, Shelf life: 3-5 days"
16,Fruits,80590,Citron,Hanwoo,"The Citron variety Hanwoo is a citrus fruit grown in South Korea. The fruit is similar to a lemon in appearance and taste, but is slightly sweeter. Citron Hanwoo is typically in season from late summer to early fall.","Size- 12 cm, Shape- oval, Skin Color- yellow, Flesh Color- pink, Texture- juicy, Weight- 200 g",",Size- 12 cm, ,Shape- oval, ,Skin Color- yellow, ,Flesh Color- pink, ,Texture- juicy, ,Weight- 200 g,Scientific name: Citrus medicaOrigin: KoreaTSS: 10-12%Acidity: 0.3-0.5%Taste: sour, acidicSeed: manyRipening Season: late summerNutritional Value: high in Vitamin CShelf life: 2-3 weeks"
18,Fruits,80590,Citron,Beef Cattle,"Citron is a large, yellow citrus fruit with thick, fragrant rind. The flesh is tart and acidic, making it best suited for use in preserved forms such as marmalade or candied peel. Citron is thought to be native to Southeast Asia and has been cultivated in China and India for centuries.","Size: 5-8 cm, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: juicy, slightly acidic, Weight: 80-150 grams","Size: 5-8 cm, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: juicy, slightly acidic, Weight: 80-150 grams,Scientifc name: Citrus maxima, Origin: China, TSS: 12-14%, Acidity: 0.8-1.2%, Taste: Sour, Seed: Yes, Ripening Season: Winter, Nutritional Value: Vitamin C, Shelf life: 6-8 months"
20,Fruits,80590,Citron,Heifer,"The Citron Heifer is a variety of Citron that is grown in the Heifer region. This variety of Citron is known for its sweetness and is often used in desserts. The Citron Heifer is also grown in other regions, but the Heifer region is the primary producer of this variety.","Size: 3-4 inches, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: juicy, slightly acidic, Weight: 120-140 grams","Size: 3-4 inches, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: juicy, slightly acidic, Weight: 120-140 grams,Scientific name: Citrus medicaOrigin: IndiaTSS value: 8-9%Acidity: 0.5-1.5%Taste: sour, acidicSeed: 1-2%Ripening Season: October to FebruaryNutritional Value: Vitamin C, flavonoidsShelf life: 4-6 weeks"
22,Fruits,80590,Citron,Kedah Kelantan,This citron variety is grown in the Kedah and Kelantan regions of Malaysia and is known for its sweetness and lack of seeds. The fruit is similar to a lemon in appearance and is often used in desserts or as a flavoring agent.,"Size: 12 cm, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: moderately acidic and slightly fragrant, Weight: 300 grams","Size: 12 cm, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: moderately acidic and slightly fragrant, Weight: 300 grams,Scientific name: Citrus maxima, Origin: Malaysia, TSS value: 10-12%, Acidity: 0.3-0.6%, Taste: sour, acidic, Seed: 1-3, Ripening Season: August-September, Nutritional Value: Vitamin C, flavonoids, Shelf life: 3-4 weeks"
